sourceId,plannedAction,title,slug,path,parentSourceId,parentTitle,hierarchyDepth,plainTextWordCount,sourceModified,sourceUrl
48,create-page-draft-after-approval,"Mental Health Services in Oldham County, KY",oldham-county-ky,/oldham-county-ky/,,,0,201,2026-06-29T18:21:09,http://100.70.222.25:8092/oldham-county-ky/
49,create-page-draft-after-approval,"Parenting Support in Louisville, KY",parenting-support,/parenting-support/,,,0,376,2026-06-29T18:21:09,http://100.70.222.25:8092/parenting-support/
50,create-page-draft-after-approval,"Play Therapy in Louisville, KY",play-therapy,/play-therapy/,,,0,398,2026-06-29T18:21:09,http://100.70.222.25:8092/play-therapy/
3,create-page-draft-after-approval,Privacy Policy for Louisville Mental Health Group,privacy-policy,/privacy-policy/,,,0,141,2026-06-29T18:21:09,http://100.70.222.25:8092/privacy-policy/
52,create-page-draft-after-approval,"Relationship Counseling in Louisville, KY",relationship-counseling,/relationship-counseling/,,,0,324,2026-06-29T18:21:10,http://100.70.222.25:8092/relationship-counseling/
53,create-page-draft-after-approval,Louisville Mental Health Group Reviews | Client Feedback,reviews,/reviews/,,,0,111,2026-06-29T18:21:10,http://100.70.222.25:8092/reviews/
2,create-page-draft-after-approval,Sample Page,sample-page,/sample-page/,,,0,34,2026-06-29T13:57:31,http://100.70.222.25:8092/sample-page/
54,create-page-draft-after-approval,"Mental Health Services in Louisville, KY",services,/services/,,,0,612,2026-06-29T18:21:10,http://100.70.222.25:8092/services/
55,create-page-draft-after-approval,"Mental Health Specialties in Louisville, KY",specialties,/specialties/,,,0,507,2026-06-29T18:21:10,http://100.70.222.25:8092/specialties/
56,create-page-draft-after-approval,Terms of Use for Louisville Mental Health Group,terms-of-use,/terms-of-use/,,,0,146,2026-06-29T18:21:10,http://100.70.222.25:8092/terms-of-use/
57,create-page-draft-after-approval,"In-Home Therapy in Louisville, KY",therapy-in-your-home,/therapy-in-your-home/,,,0,394,2026-06-29T18:21:10,http://100.70.222.25:8092/therapy-in-your-home/
58,create-page-draft-after-approval,"Trauma Therapy in Louisville, KY",trauma-therapy,/trauma-therapy/,,,0,221,2026-06-29T18:21:10,http://100.70.222.25:8092/trauma-therapy/
10,create-page-draft-after-approval,Family Therapy vs. Individual Therapy | Which Fits?,family-therapy-vs-individual-therapy,/articles/family-therapy-vs-individual-therapy/,9,Mental Health Articles from Louisville Mental Health Group,1,561,2026-06-29T18:21:06,http://100.70.222.25:8092/articles/family-therapy-vs-individual-therapy/
